,error-test,error-train,fold,l2reg,model,n_samples-test,n_samples-train,site_index,std-test,std-train
186,140.713437042,159.610355199,2,0.0,mix,61,554,6,145.871383198,217.700824687
187,215.523355401,240.603378516,2,0.0,hrrr,61,554,6,276.752643444,343.808679783
188,179.380349282,240.295696245,2,0.0,nam,61,554,6,243.540901539,335.622629515
189,145.564778736,159.611307792,3,0.0,mix,62,553,6,158.245542959,216.483704488
190,96.4581888049,249.149229166,3,0.0,hrrr,62,553,6,134.080513547,346.05281936
191,254.060189382,232.721177257,3,0.0,nam,62,553,6,325.231058567,330.276529415
192,199.742445101,152.468706721,4,0.0,mix,62,553,6,252.199576437,206.852225674
193,228.833360211,239.26465712,4,0.0,hrrr,62,553,6,340.994956047,338.566367847
194,307.468795753,225.381324991,4,0.0,nam,62,553,6,412.021810204,314.154591478
195,173.881826996,156.912426823,5,0.0,mix,61,554,6,214.547971424,214.283256772
196,306.935071646,229.415219536,5,0.0,hrrr,61,554,6,406.059287471,327.231606708
197,176.692425006,240.514876718,5,0.0,nam,61,554,6,258.65272608,334.886409845
198,188.17947018,154.513703658,6,0.0,mix,61,554,6,246.274724818,214.109091365
199,275.134583524,233.815009282,6,0.0,hrrr,61,554,6,359.044489361,336.078948507
200,311.30116464,224.976864258,6,0.0,nam,61,554,6,382.609318962,320.628117495
201,189.069438133,154.027828107,7,0.0,mix,62,553,6,274.548735744,204.44823094
202,275.467106863,233.689758774,7,0.0,hrrr,62,553,6,392.068937619,330.718487491
203,232.885081342,235.191804641,7,0.0,nam,62,553,6,318.032465055,331.093597492
204,153.392395547,158.497002805,8,0.0,mix,62,553,6,232.21105552,214.698493997
205,226.27894207,239.536878098,8,0.0,hrrr,62,553,6,315.166739148,341.166018789
206,267.940663775,230.969258582,8,0.0,nam,62,553,6,376.129341587,323.010996284
207,146.447173072,159.017422302,9,0.0,mix,61,554,6,179.722964112,216.575678128
208,260.933449822,235.600696462,9,0.0,hrrr,61,554,6,350.647856915,337.345687533
209,220.996835289,236.447383129,9,0.0,nam,61,554,6,281.312108624,334.008475159
210,152.556650684,131.195370683,0,0.0,mix,64,579,7,244.421817043,223.966015153
211,182.480747019,174.613027533,0,0.0,hrrr,64,579,7,301.439306667,322.830649597
212,158.585677694,139.831817204,0,0.0,nam,64,579,7,264.273515115,244.410677907
213,140.539992118,132.672131906,1,0.0,mix,65,578,7,254.776089781,221.393199228
214,156.614913424,177.40125664,1,0.0,hrrr,65,578,7,297.285193616,323.205647455
215,140.875820905,141.914269906,1,0.0,nam,65,578,7,272.973971986,243.11564498
216,96.4302654172,136.972248094,2,0.0,mix,64,579,7,120.838411227,229.450078441
217,105.005738272,181.525938821,2,0.0,hrrr,64,579,7,163.47388359,328.523397252
218,99.0901838836,145.765242631,2,0.0,nam,64,579,7,147.204437491,252.203990416
219,73.6226634092,138.628305513,3,0.0,mix,64,579,7,71.1362035425,227.833131018
220,51.9766105751,184.043021049,3,0.0,hrrr,64,579,7,86.33161039,328.692081998
221,50.3559233353,148.501014832,3,0.0,nam,64,579,7,76.5139778591,252.56478608
222,144.054823663,132.299328985,4,0.0,mix,65,578,7,211.980123709,229.425587618
223,194.914615439,173.081330925,4,0.0,hrrr,65,578,7,295.186058694,323.3750398
224,160.239361826,139.584968301,4,0.0,nam,65,578,7,231.698605282,248.116737978
225,196.289632075,125.877351683,5,0.0,mix,64,579,7,291.595017858,214.155727227
226,314.347485875,152.472847196,5,0.0,hrrr,64,579,7,479.729444317,270.480416686
